,Unnamed: 0,id,Name,Gender,Age,Section,Science,English,History,Maths,Total_Mark(%),Result,Performance,Rank
0,10,11,Dunn,Male,15.0,C,100.0,93,87.0,81,90.25,Pass,Excellent,1.0
1,13,14,Gracie,Female,13.0,B,93.0,38,96.0,93,80.0,Pass,Excellent,2.0
2,5,6,Malissa,Female,14.0,C,98.0,51,85.0,76,77.5,Pass,Good,3.0
3,23,24,Valma,Female,14.0,C,48.0,83,79.0,95,76.25,Pass,Good,4.0
4,6,7,Ichabod,Female,14.0,B,98.0,74,54.0,60,71.5,Pass,Good,5.0
5,18,19,Opalina,Female,13.0,B,62.0,77,75.0,72,71.5,Pass,Good,5.0
6,12,13,Merrick,Male,15.0,A,65.0,89,96.0,34,71.0,Pass,Good,6.0
7,14,15,Missy,Female,13.0,B,98.0,18,84.0,74,68.5,Pass,Good,7.0
8,20,21,Amery,Male,13.0,A,76.0,96,67.0,17,64.0,Pass,Good,8.0
9,15,16,Gilberta,Female,15.0,A,53.0,30,90.0,64,59.25,Pass,Good,9.0
10,17,18,Dory,Female,13.0,B,91.0,89,25.0,23,57.0,Pass,Good,10.0
11,16,17,Peggy,Male,13.0,A,91.0,45,44.0,45,56.25,Pass,Good,11.0
12,0,1,Bronnie,Female,13.0,C,21.0,81,62.0,49,53.25,Pass,Good,12.0
13,2,3,Danya,Female,14.0,C,12.0,87,16.0,96,52.75,Pass,Good,13.0
14,7,8,Beverlie,Male,14.0,B,25.0,51,41.0,80,49.25,Pass,Good,14.0
15,3,4,Denna,Female,14.0,B,15.0,53,82.0,33,45.75,Pass,Good,15.0
16,11,12,Valaria,Male,13.0,B,19.0,5,78.0,76,44.5,Pass,Good,16.0
17,24,25,Jone,Male,14.0,A,17.0,87,16.0,50,42.5,Pass,Good,17.0
18,21,22,Benoite,Male,14.0,B,3.0,55,14.0,90,40.5,Pass,Good,18.0
19,22,23,Merle,Female,13.0,C,5.0,83,14.0,39,35.25,Fail,Bad,19.0
20,1,2,Lemmie,Male,15.0,B,29.0,41,17.0,40,31.75,Fail,Bad,20.0
21,8,9,Corrine,Male,15.0,A,39.0,16,22.0,49,31.5,Fail,Bad,21.0
22,9,10,Tate,Male,15.0,C,35.0,25,37.0,27,31.0,Fail,Bad,22.0
23,4,5,Jocelin,Male,14.0,A,43.0,6,3.0,21,18.25,Fail,Bad,23.0
24,19,20,Ashlan,Male,13.0,B,41.0,6,17.0,3,16.75,Fail,Bad,24.0
