id,Name,Gender,Age,Section,Science,English,History,Maths
1,Bronnie,Female,13,C,21,81,62,49
2,Lemmie,Male,15,B,29,41,17,40
3,Danya,Female,14,C,12,87,16,96
4,Denna,Female,14,B,15,53,82,33
5,Jocelin,Male,14,A,43,6,3,21
6,Malissa,Female,14,C,98,51,85,76
7,Ichabod,Female,14,B,NaN,74,54,60
8,Beverlie,Male,14,B,25,51,41,80
9,Corrine,Male,15,A,39,16,22,49
10,Tate,Male,15,C,35,25,37,27
11,Dunn,Male,15,C,100,93,87,81
12,Valaria,Male,13,B,19,5,78,76
13,Merrick,Male,15,A,65,89,96,34
14,Gracie,Female,13,B,93,38,NaN,93
15,Missy,Female,13,B,98,18,84,74
16,Gilberta,NaN,15,A,53,30,90,64
17,Peggy,Male,13,A,91,45,44,45
18,Dory,Female,13,B,NaN,89,25,23
19,Opalina,Female,13,B,62,77,75,72
20,Ashlan,Male,13,B,41,6,17,3
21,Amery,Male,NaN,A,76,96,67,17
22,Benoite,Male,14,B,3,55,14,90
23,Merle,Female,13,C,5,83,NaN,39
24,Valma,Female,14,C,48,83,79,95
25,Jone,Male,14,A,17,87,16,50
